Category,Headline,Author,Date,Description,Image URL,Article Body
national,Car collides head-on with truck in TN; 8 including 2 kids killed,,2023-10-15T09:41:18.000Z,Car collides head-on with truck in TN; 8 including 2 kids killed,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697360582130_192.jpg?,"At least eight people, including two children, were killed after a car collided head-on with a truck in Tamil Nadu's Tiruvannamalai district on Sunday, police said. The police added that the cause of the accident, which took place on a highway, is being investigated. The passengers in the car were returning to Karnataka after visiting a temple in Tamil Nadu."
national,"Probe ordered in Maha road accident, CM announces ₹5 lakh ex-gratia",,2023-10-15T09:39:38.000Z,"Probe ordered in Maha road accident, CM announces ₹5 lakh ex-gratia",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697361041617_113.jpg?,"Maharashtra CM Eknath Shinde on Sunday ordered a probe into a road accident on the Samruddhi Expressway in which 12 people were killed. CM Shinde also announced an ex-gratia of ₹5 lakh for kin of each of the deceased. Meanwhile, PM Narendra Modi announced ₹2 lakh ex-gratia to kin of each deceased and ₹50,000 for those injured in the accident."
national,2 men ran ₹854 crore cyber fraud from a 1 BHK house in Bengaluru,,2023-10-15T09:22:30.000Z,2 men ran ₹854 crore cyber fraud from a 1 BHK house in Bengaluru,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697361169287_701.jpg?,"A 33-year-old MBA graduate and a 36-year-old techie set up a nameless private enterprise in a 1 BHK Bengaluru house and cheated thousands of people of ₹854 crore, The Indian Express reported. They hired two youths and tasked them with keeping eight mobile phones active. They cheated people by promising huge investment returns by contacting them through Telegram and WhatsApp."
national,"Woman stays in Bengaluru mall till 2:30 am, bites police officer on being questioned",,2023-10-15T09:18:39.000Z,"Woman stays in Bengaluru mall till 2:30 am, bites police officer on being questioned",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697360831376_47.jpg?,"A 28-year-old woman was arrested for allegedly abusing and assaulting police and security officials on being asked to leave the premises of a mall after 2:30 am in Bengaluru. She was caught by mall officials when they were closing, an official said. While being questioned at a police station, she allegedly tried to run away and bit a sub-inspector's hand."
national,Man arrested for threatening bomb attack at Taj Hotel in Mumbai,,2023-10-15T09:15:19.000Z,Man arrested for threatening bomb attack at Taj Hotel in Mumbai,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697360660851_403.jpg?,"A 36-year-old man, identified as Dharampal Singh, has been arrested for allegedly calling the Mumbai fire brigade control room and saying he would place a bomb at the Taj Hotel in Mumbai. Following the call, the police checked the hotel but found nothing suspicious. Police have released a picture of the accused and registered a case against him."
national,Video shows monkey 'going through' papers of files at office in UP,,2023-10-15T09:10:07.000Z,Video shows monkey 'going through' papers of files at office in UP,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697359615462_208.jpg?,"A video showing a monkey apparently going through the papers of files at an office in Uttar Pradesh's Saharanpur has surfaced online. Initial reports suggested that the incident occurred at a government office, however, the additional district magistrate clarified that the monkey had entered a lawyer's office. Monkey can be seen refusing to take a banana in the video."
national,Punjab CM declares ₹1 cr aid after Agniveer gets no military funeral,,2023-10-15T08:37:24.000Z,Punjab CM declares ₹1 cr aid after Agniveer gets no military funeral,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697357089978_194.jpg?,"After Agniveer Amritpal Singh wasn't provided a guard of honour or military funeral, Punjab CM Bhagwant Mann said that he will raise the issue with the central government. Announcing ₹1 crore aid for Singh's family as per state government's policy, he added, ""Whatever may be...policy of the Army...but the policy of Punjab government will remain the same for every martyr."""
national,"Snowfall likely in J&K, Ladakh, Himachal; 'orange alert' issued",,2023-10-15T08:21:42.000Z,"Snowfall likely in J&K, Ladakh, Himachal; 'orange alert' issued",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697356353846_962.jpg?,"The India Meteorological Department (IMD) on Saturday issued an orange alert, warning of heavy rainfall and subsequent snowfall in parts of Jammu and Kashmir, Ladakh and Himachal Pradesh over the next two to three days. The weather department said that the change in weather will be due to an intense western disturbance over the region."
national,"20-yr-old student kidnapped from outside her college, gangraped in hotel in Karnataka",,2023-10-15T08:15:32.000Z,"20-yr-old student kidnapped from outside her college, gangraped in hotel in Karnataka",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697357033776_323.jpg?,"A 20-year-old student was kidnapped from outside her college and gang-raped by four people in a hotel in Karnataka's Koppal district, police said. On Friday, the woman managed to escape the hotel and file a police complaint. One of the four accused has been arrested and search is on for the others."
national,Andhra court allows AC facility for Chandrababu Naidu in prison,,2023-10-15T07:22:13.000Z, Andhra court allows AC facility for Chandrababu Naidu in prison,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2023/10_oct/15_sun/img_1697352367520_442.jpg?,"A local court in Andhra Pradesh has allowed former CM and TDP chief Chandrababu Naidu to have air-conditioning (AC) facility in prison. Naidu is lodged in Rajamahendravaram Central Prison after his arrest in connection with alleged ₹371 crore skill development scam. Naidu's lawyers had filed a petition for the same ""in order [to] prevent rapid aggravation of his skin condition""."
